---------------------------- PROCESS STARTED (11508) for package com.example.mg4_2 ----------------------------
2026-02-18 00:11:38.709 11508-11508 MG4_HW                                   com.example.mg4_2                    I  Car.createCar() başarılı, onServiceConnected bekleniyor...
2026-02-18 00:11:38.709 11508-11508 MG4_SERVICE                              com.example.mg4_2                    I  Car.connect() çağrıldı
2026-02-18 00:11:38.715 11508-11508 MG4_SERVICE                              com.example.mg4_2                    I  Hardkey receiver kayıt edildi. keycode=17
2026-02-18 00:11:50.434 11508-11508 MG4_HW                                   com.example.mg4_2                    I  setDriveMode → Eco (2)
2026-02-18 00:11:50.434 11508-11508 MG4_HW                                   com.example.mg4_2                    E  CarPropertyManager henüz hazır değil!
2026-02-18 00:11:57.664 11508-11508 MG4_HW                                   com.example.mg4_2                    I  setOnePedal → Açık
2026-02-18 00:11:57.664 11508-11508 MG4_HW                                   com.example.mg4_2                    E  CarPropertyManager henüz hazır değil!
2026-02-18 00:12:00.058 11508-11508 MG4_HW                                   com.example.mg4_2                    I  setOnePedal → Kapalı
2026-02-18 00:12:10.861  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883790_16777216_0
2026-02-18 00:12:11.633  3523-3859  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  setProperty, propId: 0x2140a17c, class: class java.lang.Integer, value: 4
2026-02-18 00:12:11.842  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883789_16777216_3
2026-02-18 00:12:11.842  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883790_16777216_2
2026-02-18 00:12:11.842  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883772_16777216_4
2026-02-18 00:12:11.843  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883789_16777216_3
2026-02-18 00:12:11.847  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883790_16777216_2
2026-02-18 00:12:11.848  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883772_16777216_4
2026-02-18 00:12:12.597  3523-3578  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  setProperty, propId: 0x2140a17c, class: class java.lang.Integer, value: 7
2026-02-18 00:12:12.858  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883789_16777216_1
